username,password1,password2,role
alicia56482,I_35VtTw,I_35VtTw,student
ecurry607,_7Xnb$1g,_7Xnb$1g,student
austinbaxter566,+)72c0Ir,+)72c0Ir,admin
radams699,^z&V2OzQ,^z&V2OzQ,student
natasha41917,@#9TV2vm,@#9TV2vm,student
katie53147,Z#_5LPTj,Z#_5LPTj,student
shelby03364,+u3l9QHk,+u3l9QHk,student
feliciacantu413,&M#1p4Sv,&M#1p4Sv,student
angelapowell913,!_E1KGbf,!_E1KGbf,student
ryan6614,n4T^9^Ba,n4T^9^Ba,student
mcgeejane817,$&0#Eazl,$&0#Eazl,student
cynthia54808,&7VHm2u+,&7VHm2u+,student
heather02179,&i7NlofD,&i7NlofD,student
zsavage770,@#B26Hdn,@#B26Hdn,student
annettewarner365,u)1%zVjf,u)1%zVjf,student
amanda05804,V$5ZPwyJ,V$5ZPwyJ,student
mason94564,%&9)C@z1,%&9)C@z1,student
hintonjoshua68,kN2(S1Oj,kN2(S1Oj,admin
john01571,B_9qB$in,B_9qB$in,student
rachel81388,!AX6FaWr,!AX6FaWr,student
brandy57198,i_n1VWvp,i_n1VWvp,student
steve68644,)4kSfHsS,)4kSfHsS,student
emilywalker990,&(!3IXc#,&(!3IXc#,student
steven62809,k%87Oq!w,k%87Oq!w,student
lisayoung646,%1Klhin),%1Klhin),student
jkrueger789,)3N!%sBh,)3N!%sBh,student
vpugh12,eh4e)0Tr,eh4e)0Tr,student
larry27533,)b42cWyb,)b42cWyb,student
jameskeller47,2)7uOnlL,2)7uOnlL,student
warrenjamie459,*^P9ZCgV,*^P9ZCgV,student
lee95596,!%4(Gr)B,!%4(Gr)B,student
elliottmichael44,^D71+9Sa,^D71+9Sa,student
jessicalopez21,o+5cOrnh,o+5cOrnh,student
hansonbarbara945,@F#Qh4Ng,@F#Qh4Ng,student
friedmanrachel739,n%C@7OrE,n%C@7OrE,student
andrepineda83,&L4GvwqN,&L4GvwqN,student
tinastone628,_3A!cfvp,_3A!cfvp,student
erica91503,@_V2kBAn,@_V2kBAn,student
jeffrey11538,LC)b3Xc#,LC)b3Xc#,student
tdelacruz347,!9RSH!Jr,!9RSH!Jr,student
anthonygould871,+7*6GfbL,+7*6GfbL,student
helen10803,^P@W0RPt,^P@W0RPt,student
elizabeth30440,@#t28Eq9,@#t28Eq9,student
williamsedward450,8@7ZZ2mz,8@7ZZ2mz,student
farmercarol839,&7FcB!jT,&7FcB!jT,student
sarah60571,(87Amtgh,(87Amtgh,student
jasmineyoung13,!9tEHhPi,!9tEHhPi,student
patriciasalinas351,^A6kI4Ln,^A6kI4Ln,student
christian8721,1(5N2kQn,1(5N2kQn,student
garciaharold844,#8pCDtun,#8pCDtun,student
morrisjonathon971,*0A$g$Ag,*0A$g$Ag,student
garciatara964,@p(6cDze,@p(6cDze,student
kristenmorris364,%nj8BUbQ,%nj8BUbQ,student
wweber807,)9SrGu@U,)9SrGu@U,student
zjohnson735,cp_B6Gox,cp_B6Gox,student
alan17169,GK+71ZRy,GK+71ZRy,student
diana11693,E!UD8KIn,E!UD8KIn,student
gregorymichael457,I%K7CXlM,I%K7CXlM,student
qmurphy835,@y8AdLbX,@y8AdLbX,student
pgriffith640,+8SE$w+V,+8SE$w+V,student
dstafford364,)5lUTMbn,)5lUTMbn,student
myerselizabeth921,#&6TOYc^,#&6TOYc^,student
mistyquinn200,B!(k3B1r,B!(k3B1r,student
david35388,*6L503wK,*6L503wK,student
caitlinlopez21,y!2Kjp3L,y!2Kjp3L,student
eddiepatel54,!*9H5Bwh,!*9H5Bwh,student
markellison36,XBK$5KpU,XBK$5KpU,student
richard80541,%1R#Biv4,%1R#Biv4,student
wtorres773,^4OB36Hu,^4OB36Hu,student
megan11151,h8z)5Ks%,h8z)5Ks%,student
joshuathornton611,B$u4fZud,B$u4fZud,student
hartmanchristopher140,&5RTPro@,&5RTPro@,student
browngregory517,6&6SKfqJ,6&6SKfqJ,student
xturner931,!q3BtR^b,!q3BtR^b,student
rdavis411,!Yt7InJl,!Yt7InJl,student
wardamber581,(6^doHPl,(6^doHPl,admin
cooleyamanda962,)0Pzlc2o,)0Pzlc2o,student
heidi40785,@g69Int(,@g69Int(,student
butlermichael234,#4eLVWbm,#4eLVWbm,student
henrycindy570,uS*2Os+g,uS*2Os+g,student
patriciaruiz826,9&RQR8Bd,9&RQR8Bd,student
kellertyler881,WkL!)8Bn,WkL!)8Bn,student
reevesdarlene906,88g_7%Rf,88g_7%Rf,student
aacevedo560,S^5DF!oz,S^5DF!oz,student
amyle922,(1(OH5q&,(1(OH5q&,student
sbennett579,)w8Xhkg^,)w8Xhkg^,student
michael27598,_gWy7Doh,_gWy7Doh,student
olivergeorge420,n+!#6Wfq,n+!#6Wfq,student
jacqueline67666,M&742Oo(,M&742Oo(,student
patrickhanson405,@3Rt8D8Q,@3Rt8D8Q,student
ujefferson646,(yP7@Oki,(yP7@Oki,student
monicarogers731,Z_8HKhrH,Z_8HKhrH,student
murraykimberly34,_X*8T77g,_X*8T77g,student
anthony58261,%+s4WEdY,%+s4WEdY,student
michael77452,a$5odyPw,a$5odyPw,student
jdavidson568,2B_4@Ura,2B_4@Ura,student
dlang269,Z+U0Oxa9,Z+U0Oxa9,student
christinahooper920,Q#1FNdNw,Q#1FNdNw,student
peckbradley19,)6Wq$TOT,)6Wq$TOT,student
ruizkelly965,_4r#S^Ws,_4r#S^Ws,student
